#検索キーワード	辞書	match	count	結果1	結果1_ID	結果1_検索順位	結果2	結果2_ID	結果2_検索順位	結果3	結果3_ID	結果3_検索順位	結果4	結果4_ID	結果4_検索順位	結果5	結果5_ID	結果5_検索順位	結果6	結果6_ID	結果6_検索順位	結果7	結果7_ID	結果7_検索順位	結果8	結果8_ID	結果8_検索順位	結果9	結果9_ID	結果9_検索順位	結果10	結果10_ID	結果10_検索順位
NapD	univ	cs	10	Chaperone NapD	aa47c079747dcc80501b8e4225042539mlt_after	Aspyridones efflux protein apdF	9327555b6c7a18080418b78f459ee1b8mlt_after	Dapdiamide A synthase	1a1fc59dbb652f71d0535d9bf9829fdfmlt_after	3'-5' exonuclease KapD	4f49fef9cc04abe190df0395465377a9mlt_after	Chaperone protein PapD	96bdd364cf331d93ad15431988eb049bmlt_after	Endoribonuclease VapD	e4483068b7c32a49c7635a65b1760bebmlt_after	or 3'-5' exonuclease KapD	4c549a162611d1146b044be961ffcdddmlt_after	Endoribonuclease VapD 1	1f308b157a2e4f790bcfcf017cf189b0mlt_after	Endoribonuclease VapD 2	7b16c9ba31f000a9341d3f458ab16058mlt_after	cell division protein ZapD	b36803d1b04c23388aef97581d628074mlt_after	Trans-enoyl reductase apdC	b7ecc54b8e2e05610af9511140de82c9mlt_after	Acyl-CoA dehydrogenase apdG	76a43c4274617ace2689b10f9c5bd36emlt_after	SAP domain-containing new25	d7834b0047274b931f883fae8b96b90amlt_after	Endoribonuclease VapD homolog	15d53b07984f6f5a59e3c0ae7e66b930mlt_after	Hybrid PKS-NRPS synthetase apdA	2af01f49bd84a377f25862dbc094664dmlt_after
OorB subunit of 2-oxoglutarate:acceptor oxidoreductase	univ	cs	10	2-oxoglutarate-acceptor oxidoreductase subunit OorB	9df6d1235af42b24454295900afa1e82mlt_after	2-oxoglutarate-acceptor oxidoreductase subunit OorD	468966d63c2340b1d468a93b50c3d7f8mlt_after	2-oxoglutarate-acceptor oxidoreductase subunit OorC	12a990ad656f1ecb8467911d6b638ae7mlt_after	2-oxoglutarate:acceptor oxidoreductase, OorA subunit	2fcb74003af61c0ef6bb1924ec3570b3mlt_after	2-oxoglutarate oxidoreductase subunit KorB	3c635f12db62d92a6a567a4a659b3771mlt_after	2-oxoglutarate oxidoreductase subunit KorA	07c25844252e703855fc353efdfa8526mlt_after	2-oxoglutarate ferredoxin oxidoreductase subunit gamma	851807774568e3423b5673240693d948mlt_after	2-oxoglutarate ferredoxin oxidoreductase subunit alpha	99f7803cc2e5b7a77bc5f7ccf12204c3mlt_after	2-oxoglutarate-Fe(II) type oxidoreductase	3a736003d17c84752c719e8a65e8024fmlt_after	2-oxoglutarate-Fe(II) type oxidoreductase hxnY	26da1fd379aa1fb23dfd9fe7c2b914bemlt_after	2-oxoglutarate receptor 1	0f8df9e33866730efb0d62ffc20db932mlt_after	2-oxoglutarate synthase subunit KorB	09b8d3cc6361472a0c9b11286ea4a707mlt_after	2-oxoglutarate synthase subunit KorA	2de694025d2f6a619ba5fe9d8c85f094mlt_after	2-oxoglutarate synthase subunit KorC	7d59360c488d94867e578a4eab02ca7bmlt_after	2-oxoglutarate synthase subunit alpha	9af1fbf08d6906941352b9d20ab9717fmlt_after
OorC subunit of 2-oxoglutarate:acceptor oxidoreductase	univ	cs	10	2-oxoglutarate-acceptor oxidoreductase subunit OorC	12a990ad656f1ecb8467911d6b638ae7mlt_after	2-oxoglutarate-acceptor oxidoreductase subunit OorD	468966d63c2340b1d468a93b50c3d7f8mlt_after	2-oxoglutarate-acceptor oxidoreductase subunit OorB	9df6d1235af42b24454295900afa1e82mlt_after	2-oxoglutarate:acceptor oxidoreductase, OorA subunit	2fcb74003af61c0ef6bb1924ec3570b3mlt_after	2-oxoglutarate oxidoreductase subunit KorA	07c25844252e703855fc353efdfa8526mlt_after	2-oxoglutarate oxidoreductase subunit KorB	3c635f12db62d92a6a567a4a659b3771mlt_after	2-oxoglutarate ferredoxin oxidoreductase subunit gamma	851807774568e3423b5673240693d948mlt_after	2-oxoglutarate ferredoxin oxidoreductase subunit alpha	99f7803cc2e5b7a77bc5f7ccf12204c3mlt_after	2-oxoglutarate-Fe(II) type oxidoreductase	3a736003d17c84752c719e8a65e8024fmlt_after	2-oxoglutarate-Fe(II) type oxidoreductase hxnY	26da1fd379aa1fb23dfd9fe7c2b914bemlt_after	2-oxoglutarate receptor 1	0f8df9e33866730efb0d62ffc20db932mlt_after	2-oxoglutarate synthase subunit KorC	7d59360c488d94867e578a4eab02ca7bmlt_after	2-oxoglutarate synthase subunit KorA	2de694025d2f6a619ba5fe9d8c85f094mlt_after	2-oxoglutarate synthase subunit KorB	09b8d3cc6361472a0c9b11286ea4a707mlt_after	2-oxoglutarate synthase subunit alpha	9af1fbf08d6906941352b9d20ab9717fmlt_after
OorD subunit of 2-oxoglutarate:acceptor oxidoreductase	univ	cs	10	2-oxoglutarate-acceptor oxidoreductase subunit OorD	468966d63c2340b1d468a93b50c3d7f8mlt_after	2-oxoglutarate-acceptor oxidoreductase subunit OorB	9df6d1235af42b24454295900afa1e82mlt_after	2-oxoglutarate-acceptor oxidoreductase subunit OorC	12a990ad656f1ecb8467911d6b638ae7mlt_after	2-oxoglutarate:acceptor oxidoreductase, OorA subunit	2fcb74003af61c0ef6bb1924ec3570b3mlt_after	2-oxoglutarate oxidoreductase subunit KorA	07c25844252e703855fc353efdfa8526mlt_after	2-oxoglutarate oxidoreductase subunit KorB	3c635f12db62d92a6a567a4a659b3771mlt_after	2-oxoglutarate ferredoxin oxidoreductase subunit gamma	851807774568e3423b5673240693d948mlt_after	2-oxoglutarate ferredoxin oxidoreductase subunit alpha	99f7803cc2e5b7a77bc5f7ccf12204c3mlt_after	2-oxoglutarate-Fe(II) type oxidoreductase	3a736003d17c84752c719e8a65e8024fmlt_after	2-oxoglutarate-Fe(II) type oxidoreductase hxnY	26da1fd379aa1fb23dfd9fe7c2b914bemlt_after	2-oxoglutarate receptor 1	0f8df9e33866730efb0d62ffc20db932mlt_after	2-oxoglutarate synthase subunit KorA	2de694025d2f6a619ba5fe9d8c85f094mlt_after	2-oxoglutarate synthase subunit KorB	09b8d3cc6361472a0c9b11286ea4a707mlt_after	2-oxoglutarate synthase subunit KorC	7d59360c488d94867e578a4eab02ca7bmlt_after	2-oxoglutarate synthase subunit alpha	9af1fbf08d6906941352b9d20ab9717fmlt_after
RNA polymerase sigma factor RpoD (Sigma-A) (Major vegetative sigmafactor)	univ	cs	10	RNA polymerase sigma factor RpoD	9b0aff5ad67a6d68df86d62227aee365mlt_after	RNA polymerase sigma factor RpoS	414137c18d2df800facdf9e97d1ea024mlt_after	RNA polymerase sigma factor RpoH	b56738bf51720e3779263a5607201a00mlt_after	ECF RNA polymerase sigma factor RpoE	57bc8b9e3670e825d1ffb673babe8352mlt_after	RNA polymerase sigma factor	53aaf0e014132556cbd9c2ae8d4b7999mlt_after	RNA polymerase sigma factor RfaY	75370b2570f3b0555ac007e52b69741emlt_after	RNA polymerase sigma factor SigM	48e4d73e916033e0a73f8759c14ddf79mlt_after	RNA polymerase sigma factor sigma-28	91746f72c68d9c80467203d2de1acbf6mlt_after	RNA polymerase sigma factor SigJ	858225a0c43ca5c3774e62172a49a6cdmlt_after	RNA polymerase sigma factor SigZ	adfffa6a94fda04f6ecbc8eca97f48ecmlt_after	RNA polymerase sigma factor SigY	88ce6eb86fc6d3591a81e97e58be050cmlt_after	RNA polymerase sigma factor SigX	1be6b1380acac851747daf8249746b1cmlt_after	RNA polymerase sigma factor SigW	3e0c2d5f9e2c6ddd364b88abbc64232fmlt_after	RNA polymerase sigma factor SigL	989c5f1a876e923ec8e1df269b6acfbbmlt_after	RNA polymerase sigma factor SigK	0007094f6a0e5975ce4cb233de8c27e9mlt_after
TrbM protein	univ	cs	10	conjugal transfer protein TrbM	1c40b2a333c5c4b9e272de9e1a8c07c5mlt_after	Protein TrbA	19ebd3f43da9940db5bddf13e6d37dfbmlt_after	Protein TrbB	d0528c88803d772d16470a5f391dba48mlt_after	Protein TrbD	ca8d91c5044ddbbdc169700b4eb2a780mlt_after	Protein TrbE	e99ea6494a19ca7056c1cf5cb8c51b56mlt_after	Protein TrbF	2d5a302cee8d86d2cdb4d44dfd0c589amlt_after	Protein TrbG	c9b0d9fe312ab07bbee325f893043b44mlt_after	Protein TrbH	3d233ce68706168470f1f1c95feb3c85mlt_after	Protein TrbI	d0195c7afcc7389c412d13f7e74a3462mlt_after	Protein TrbJ	0c5e78fb0521d0cd50b92899f8b9f4admlt_after	BMP/retinoic acid-inducible neural-specific protein 1	590a62b481d4f92355fe533bd7e91918mlt_after	BMP/retinoic acid-inducible neural-specific protein 2	3634afebb2efcacce803802a3433ab90mlt_after	BMP/retinoic acid-inducible neural-specific protein 3	ae141d3e27e9e87a44e765674d341b11mlt_after	BMP-2-inducible protein kinase	06623050e6d5ee1d67876580783da746mlt_after	Neurotoxin BmP08	177c436c545a0631c28640a3c55e6ed5mlt_after
YfgH	univ	cs	4	Uncharacterized lipoprotein YfgH	e7500b7ced42433f43394813b75393d8mlt_after	Protein YfgG	43ccc40cebb476646e7f67900af413bemlt_after	Dystrophin, isoforms A/C/F/G/H	d5184f5336be61ec762e81189651d524mlt_after	UPF0070 protein YfgM	878dd3b7571d19bcd296f0ea1aa92daamlt_after	Uncharacterized protein YfgD	5a7661243978f3de871ebd4b1e3cf866mlt_after	Uncharacterized protein YfgG	a7a8b511e721a762f87b355adde69d9emlt_after	Uncharacterized protein YfgI	76a83cc2901e8878304b3f66588f44d7mlt_after	Uncharacterized protein YfgJ	9140c386b028f47b6171e7fe65b592d9mlt_after
aspartate ammonia-lyase (Aspartase)	univ	cs	10	aspartate ammonia-lyase	5bb4945a968acf135e86a59379dc13damlt_after	Methylaspartate ammonia-lyase	a771df34f933ab45a2d0e7075b71fb9emlt_after	Methylaspartate ammonia-lyase 1	3d4396ac27bd65f9dd7b807011b2b612mlt_after	Methylaspartate ammonia-lyase 2	687dc05f77c9a99ddf58d06596b44b4fmlt_after	L-threo-3-hydroxyaspartate ammonia-lyase	37a86b459e26d3963a4b1a21abc3adc8mlt_after	aspartate--ammonia ligase	6c589b487b354ec3c60859020fb4f33cmlt_after	Glucosaminate ammonia-lyase	008737492c6193cfd804e840f1300fe0mlt_after	D-serine ammonia-lyase	37027e890d57e19e03a4003cda895803mlt_after	L-serine ammonia-lyase	53af64a614d9a7578e581f0f64055501mlt_after	threonine ammonia-lyase	fe310cc325d5e1ef591b392cb265c059mlt_after	Tyrosine ammonia-lyase	9cd865e218b922dd7316b535f066a455mlt_after	L-threonine ammonia-lyase	6e26ff502165e8595f6ae0db2a400139mlt_after	histidine ammonia-lyase	3f20469ae51860800a372931b58511f8mlt_after	diaminopropionate ammonia-lyase	bf70ea7a643638ab7a7ed17818f13b4emlt_after	Histidine ammonia-lyase 1	85946922d9186d416326aa57e07400f4mlt_after
aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B (Asp/Glu-ADT subunit B)	univ	cs	10	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferasesubunit B	98547103c1d4938d5f021dce33937b35mlt_after	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B	4430aab662b8212e77f0f549eeb49857mlt_after	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B 1	d14418edaec9d2c7899a005c21dd03b5mlt_after	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B 2	b65f2fa0b6d79d83b06c376d6581b25fmlt_after	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C	828bc79928b31702333e6e958f0e98d8mlt_after	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB	85c3c8bddc59808610c21232720c01d4mlt_after	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA	f897d646f8ab901deb6e771a8df7ce23mlt_after	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC	5f38c01c4a4559e3caf68abc0053af69mlt_after	aspartyl/glutamyl-tRNA amidotransferase subunit C-like protein	a8ecd0f67f925c65580a6d0c94c5e669mlt_after	Glutamyl-tRNA(Gln) amidotransferase subunit A	86b3c76a5d8ee1aa929d658ff63735c6mlt_after	Glutamyl-tRNA(Gln) amidotransferase subunit C	3a4b4da24a80f4f016c00ff35d49c0eemlt_after	Glutamyl-tRNA(Gln) amidotransferase subunit D	2257da07d52736d0270af7afd691f0abmlt_after	Glutamyl-tRNA(Gln) amidotransferase subunit E	cc857caae4b6570fbaecf4183c3921c0mlt_after	Glutamyl-tRNA(Gln) amidotransferase subunit A 1	12e1d674b146c01c8716d2bcf7d2da3dmlt_after	Glutamyl-tRNA(Gln) amidotransferase subunit A 2	15307fe0554b34ea198ba4d00575e117mlt_after
biotin carboxylase (Acetyl-CoA carboxylase subunit A) (ACC)	univ	cs	10	acetyl-CoA carboxylase accC (biotin carboxylase subunit)	13685c5e9909e892d4e169c41deac6f1mlt_after	acetyl-CoA carboxylase biotin carboxylase subunit	5eb186d738f3e307d766ede2e8d55d8cmlt_after	acetyl-CoA carboxylase accC (biotin carboxylase	183c45b0e35180950e5522551a34a2b1mlt_after	acetyl-CoA carboxylase subunit A	483ed2d321ec3570c1f592b22fa46698mlt_after	acetyl-CoA carboxylase, biotin carboxylase	b86b2551c7817718333ed33491a7906emlt_after	acetyl-CoA carboxylase biotin carboxyl carrierprotein subunit	c0a45e7eb65fd1ad5ecc03734ea70434mlt_after	acetyl-CoA carboxylase biotin carboxyl carrier protein subunit	a61a1cfba28380ac0404a41d407331d8mlt_after	Propionyl-CoA carboxylase, biotin carboxylase and biotin-carboxyl carrier subunit	68d8c5a289fe5644d4fe423151ba69bamlt_after	acetyl-CoA carboxylase biotin carboxyl carrier protein	869a35e2518c16af37048d25d2677e05mlt_after	Biotin carboxyl carrier protein of acetyl-CoA carboxylase	2c303b82663d50253881826fe331f61cmlt_after	Acetyl-CoA carboxylase	6852cf9c03c38f5e30dc21635695f631mlt_after	acetyl-CoA carboxylase carboxyltransferase subunit alpha	278d38d3757de96320ed938c1a0b71e9mlt_after	acetyl-CoA carboxylase carboxyl transferase subunit alpha	85c2ede886f6f0b0ef6c1d2629a6cc5cmlt_after	biotin--[acetyl-CoA-carboxylase] ligase	fb91986d11e9a0cf32d24c61781c26e5mlt_after	Acetyl-CoA carboxylase 1	6881d2cd9ef77ac97f76502c3a09b38cmlt_after
biotin/lipoyl attachment	univ	cs	10	Biotin/lipoyl attachment protein	300d6fb61d9dcb69bad87ddbe843384dmlt_after	Tail attachment protein	43980022d8e6dee55d3c00a6d3adc4d1mlt_after	Attachment protein G3P	39df253f219a94ee48481ddc8dcdddc6mlt_after	MFP1 attachment factor 1	e14c4d411291f01cd89bcbaefcf56cddmlt_after	Tip attachment protein J	17972871161b718f86945c7745db65b4mlt_after	Virus attachment protein p12	b788a2cea67b6156a7dd9e0ec3269273mlt_after	Holdfast attachment protein A	85446a30ab203dd6268e21357ecdc46cmlt_after	Holdfast attachment protein C	0a6ecbb18a5ae2a7def6e66abf743a2bmlt_after	Holdfast attachment protein D	936ec4894ac6ccb16ff0ea9a9aa701afmlt_after	Scaffold attachment factor B1	bac8c5b0909a5b1669001b76349928b7mlt_after	Scaffold attachment factor B2	4d80825b3a909f445b51f0ef868f841dmlt_after	Attachment invasion locus protein	1c81de04132a17b0087b1458f108e1bdmlt_after	Monopolar attachment protein 1	0a6d68c3162f00357c4b2ec535d708b0mlt_after	Soluble NSF attachment protein 29	077898cf8f90b7feeab5f616b41265fdmlt_after	Beta-soluble NSF attachment protein	6a5799804afc331f91bd2857a8abfd3fmlt_after
cold-shock protein, DNA-binding	univ	cs	10	Cold shock protein	1b29616265fc38e9e2577184e2d13fd2mlt_after	Cold shock protein 1	6e5a1e02890bc369af0169152c769891mlt_after	Cold shock protein 2	1777ac8d4d9bd6381f8b77a29ffa29dfmlt_after	cold shock protein A	c427d098763a4b7295971bb37002c5e0mlt_after	cold shock protein CspE	63fe57cb58926670edbc4466de3bfc78mlt_after	cold shock protein CspG	f05721a116499129abb05b1f87ea8664mlt_after	Cold shock protein CS66	11a214d16b766ed4c1122df93bb9bbf5mlt_after	Cold shock protein CSI5	4c0cb25666024ce32777fda1910b02a3mlt_after	Cold shock protein CapA	e07e192587e4990ac59dd306b635fa79mlt_after	Cold shock protein CapB	516870e3ab34d5f24193b8a2d72a05e2mlt_after	Cold shock protein CspA	e92bcad694398946f5c3bd6dfb1783ccmlt_after	Cold shock protein CspB	c0a1795b2ad1b5a8a6289f5cfe72488bmlt_after	Cold shock protein CspC	37b7a96766bf3dd55cff0f887444804bmlt_after	Cold shock protein CspD	facc7741f2e6d27dcbfb5b90718c1a7fmlt_after	Cold shock protein CspV	679235f0b8bba62cbe6c41f2e7adac9amlt_after
conjugal transfer protein	univ	cs	10	conjugal transfer protein TraD	bb06ad9e72cdce469b25b586f40f5ff5mlt_after	conjugal transfer protein TraM	239ac7637060dbeec84724d5a2a2a877mlt_after	conjugal transfer protein TraR	4bcad647e3ff0e6d03c68f7402f2fc81mlt_after	conjugal transfer protein TraV	e66040c34d292b6cd62149c8fba78c3emlt_after	conjugal transfer protein TraK	f609c02e5eedc3438362898518fbefbemlt_after	conjugal transfer protein TraP	20c36808c72d6934e604616eff9a7497mlt_after	conjugal transfer protein TraY	4b9d5128864b0bf6c35997e6769b6d33mlt_after	conjugal transfer protein TraB	32a18e9493d60c87114f71bb9eb0b370mlt_after	conjugal transfer protein TraH	47264574f8405d13a0b1d129bd6d0106mlt_after	conjugal transfer protein TraC	42d461fe50025b9f4edc472c6cf62e6bmlt_after	conjugal transfer protein TraL	880716f37b38bf6eca8fe4336de16023mlt_after	Conjugal transfer protein TraA	786128b97f7521b9eae9f68b40e52a4bmlt_after	Conjugal transfer protein TraF	144f43b5b9a97aec70b68671a3e5b9c7mlt_after	Conjugal transfer protein TraG	b92e252b9f47395e8749d5d65b8fe72bmlt_after	conjugal transfer protein TrbJ	9058231c62441979be865f45c3100b59mlt_after
cytochrome c oxidase, Cbb3-type, subunit II	univ	cs	10	cytochrome c oxidase, Cbb3-type, subunit I	6bba7ad0c305d2c345375c58b2532d67mlt_after	cbb3-type cytochrome c oxidase subunit II	86a6b587aa1f8656a66fd09afca8ae09mlt_after	cytochrome c oxidase, Cbb3-type, CcoQ subunit	d8daaefa17cac14af7536fcd9e997fa1mlt_after	Cbb3-type cytochrome c oxidase subunit CcoP	853a6499cdf30707f146df6e002f841amlt_after	Cbb3-type cytochrome c oxidase subunit FixP	cf450464ea7b52e8c592a62588bacd60mlt_after	Cbb3-type cytochrome c oxidase subunit CcoN1	793c5f0db11dd371c842937b9edb26acmlt_after	Cbb3-type cytochrome c oxidase subunit CcoP1	3f6774e6ec80b12cfe6cce3811009d4bmlt_after	Cbb3-type cytochrome c oxidase subunit CcoP2	0ca9b71416dbc1afb350dfab0b43f5d0mlt_after	Cbb3-type cytochrome c oxidase subunit FixPc	0e5ec4aa3ff908813b2b92d2a03f541amlt_after	bifunctional cbb3-type cytochrome c oxidase subunit II/cytochrome c	db2084b6bdf3aaff9f4fd5afb6bd969cmlt_after	bifunctional cbb3-type cytochrome c oxidase subunit I/II	8ba4b63160a60a838ba3354308c22fa6mlt_after	Cb-type cytochrome c oxidase subunit III	5fa18770d358d61ac371127bfec85b17mlt_after	cytochrome c oxidase subunit II PS17	a49230008098c08e90d6757bc5542a0dmlt_after	Cytochrome c oxidase subunit 1	273eb49f39d22fb06d44bc42d0530388mlt_after	Cytochrome c oxidase subunit 2	775e14315cb17abd0b8dd921e2890a59mlt_after
cytosine-specific methyltransferase NlaX (M.NlaX)	univ	cs	10	Cytosine-specific methyltransferase NlaX	cd89854b7b3207ac528c580276f376a1mlt_after	Adenine-specific methyltransferase activity	464cfbd72fcf79d0ab1837108f8724acmlt_after	Tapetum-specific methyltransferase 1	054f53fd9d9248f40d72de18a9bcaeb6mlt_after	Multisite-specific tRNA:(cytosine-C(5))-methyltransferase	e6aa66b54c3a9e7a335f81f5e999557emlt_after	Adenine-specific methyltransferase activity Eco57IA	15b3163df66af404e8880853665332a9mlt_after	adenine-specific DNA-methyltransferase	1efb8c750722dcb556c06f22191cd607mlt_after	Multisite-specific tRNA:(cytosine-C(5))-methyltransferase trm4a	a47142248401a065caf8cdf84f182cebmlt_after	Multisite-specific tRNA:(cytosine-C(5))-methyltransferase trm4b	ce4886360760b2da91d9263d19bd05c5mlt_after	DNA-cytosine methyltransferase	4081744548eadd33f8093aee75c688e5mlt_after	D12 class N6 adenine-specific DNA methyltransferase	ed22b9c89675d3d5680116a4b0bb62c6mlt_after	DNA (cytosine-5)-methyltransferase	60a795d41911d522799e057e141badf3mlt_after	Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase	f8ed62d81328317dd05374adb12c2e0cmlt_after	5-methylcytosine rRNA methyltransferase NSUN4	f48fb5a6f2aba08f80422ce52dd8880dmlt_after	DNA (cytosine-5)-methyltransferase 1	098e17ea64cf8bdc10a05a8648918567mlt_after	DNA (cytosine-5)-methyltransferase 2	871151104f2cb6a84efdd10048715602mlt_after
dihydroorotase (DHOase)	univ	cs	10	dihydroorotase	c48e129bbdd6a092cb091c903bc27380mlt_after	Dihydroorotase-like protein	64642ab287b07f67682d0232f30707e1mlt_after	dihydroorotate oxidase	839741f2637b9c50dc9eea2b17e496a1mlt_after	dihydroorotate dehydrogenase	b746db9bb1f382839d65a3c527a5e62emlt_after	Dihydroorotase, mitochondrial	e3acdf27fd795785440a5cbd68b61516mlt_after	dihydroorotate dehydrogenase 2	83434fc30e0a20cf9db596648306a03dmlt_after	Dihydroorotate dehydrogenase (quinone)	c0f9ca391bf651390bfdac9161ba4d18mlt_after	Dihydroorotate dehydrogenase (fumarate)	4ccf93942f589c147c7ad7eead3ce7e8mlt_after	Dihydroorotate dehydrogenase A (fumarate)	a219349c8893c7177a64b6d50bb5e897mlt_after	quinone-dependent dihydroorotate dehydrogenase	611411693a79619606cc022161fca8b2mlt_after	Dihydroorotate dehydrogenase (quinone), mitochondrial	f3d14597f83da83a8173fd4b75309eb4mlt_after	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit	a058b393626a4df83a275e29ca0c77bbmlt_after	dihydroorotate dehydrogenase electron transfer subunit	8c34d40b3947b2c152a05d0657ec8ef4mlt_after	Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit	9d9c52adb7a855746660d6d86248745dmlt_after	Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit homolog	acd4ed3933b583b3554842b91cb33d8amlt_after
homoserine dehydrogenase (HDH)	univ	cs	10	homoserine dehydrogenase	e40e45afc89e1d84d6c22be45e8b78f2mlt_after	Bifunctional aspartokinase/homoserine dehydrogenase	77b252e0b7def51e775662f0faef50f1mlt_after	Bifunctional aspartokinase/homoserine dehydrogenase 1	c87ff53321f1026ccc3dbef21be618c3mlt_after	Bifunctional aspartokinase/homoserine dehydrogenase 2	a66cd9e45369463d2aa30b688ca6512bmlt_after	bifunctional aspartate kinase/homoserine dehydrogenase I	ae9afd1a9e0337f3c74057096f4373c3mlt_after	bifunctional aspartate kinase/homoserine dehydrogenase II	38b3430fbdfc18e2ae5633d181e9285dmlt_after	Opine dehydrogenase	101a996f22d1bf7b1e339f53c79c7037mlt_after	Valine dehydrogenase	42fd076f9cda3eb952a0ebff33cc7e11mlt_after	Bifunctional aspartokinase/homoserine dehydrogenase, chloroplastic	b226046569d6bd8ed012cbe1808a31e4mlt_after	Hydrazine dehydrogenase	2fb910d6b479bbbbcc1c90833bd9fdc4mlt_after	Serine 3-dehydrogenase	2b1a0b459003f0559e128a039fd4555dmlt_after	choline dehydrogenase	4fd87c0b7931d4a8bd15b2228e5fc0admlt_after	alanine dehydrogenase	6fd0fe91aaa97c2fe95829cc846fbacemlt_after	Leucine dehydrogenase	1ae864996d57c29410d1f476501b8774mlt_after	Proline dehydrogenase	c50652c4fd63dbb1c2d87d6c831f2afdmlt_after
hydrogenase assembly chaperone HypC/HupF	univ	cs	10	hydrogenase assembly chaperone	e3c8e33e751d6d058212f76f03a545b4mlt_after	Dimethyl sulfide dehydrogenase assembly chaperone protein	71a6757e02d113e70197b5f3e01edb9amlt_after	Assembly chaperone of RPL4	c498c681c4a531cd282614add6112ca8mlt_after	Fe-S protein assembly chaperone HscA	339a84f3f12e6ce323b788cda8704056mlt_after	Proteasome assembly chaperone 1	64b3c433d516214e1b09736d83889c8cmlt_after	Proteasome assembly chaperone 2	2681a49556f67c73645a9d658f4155efmlt_after	Proteasome assembly chaperone 3	4e3198451d9f4a203475fc0ccfb2e9bbmlt_after	Proteasome assembly chaperone 4	b674be2b750ac1fdbec9d321dfd9ac00mlt_after	putativi pili assembly chaperone	01f1fad35a3947c7b8a6937a6718c9a2mlt_after	fimbrial assembly chaperone StbE	632fc7e07851a1bdce6d030340fcef04mlt_after	fimbrial assembly chaperone SthB	7bcbb9f9ae38768bf67178d92004f00dmlt_after	Selenate reductase assembly chaperone protein	ae7f618fe2a1c35d9d359415a38c1328mlt_after	Fe-S protein assembly co-chaperone HscB	0de1f8cb999d0a3a33c7dc7b6df445c9mlt_after	pili assembly chaperone protein SafB	ff69a74fcd7f06a9d826f080d2604291mlt_after	Chlorate reductase assembly chaperone protein	868a0f00a7afd1a0a5715a5e6da5f955mlt_after
hydrogenase expression/synthesis, HypA	univ	cs	10	hydrogenase expression/formation protein HypD	5ef3e53f6b06f28c1c3125ccd055ed64mlt_after	hydrogenase expression/formation protein HypE	8628885e469dff52cfbd331fd41b731amlt_after	Hydrogenase expression/formation protein HoxL	a1b1b70a5e2bd8d2758a75297ed6ee06mlt_after	Hydrogenase expression/formation protein HoxM	4ba3efdc108d1d16c7bde39d326cb3a7mlt_after	Hydrogenase expression/formation protein HoxO	e09a3fde05b4a0daac693132a43de91amlt_after	Hydrogenase expression/formation protein HoxQ	cf6b5ebc4ee24bdd7734f76188d3ddc4mlt_after	Hydrogenase expression/formation protein HoxT	cf2e67d8764420f3aa0599b3ffb869e0mlt_after	Hydrogenase expression/formation protein HoxV	af7ac6b86532256759c05cda0822e4c0mlt_after	Hydrogenase expression/formation protein HupD	a54c2ca505dd7c1bbdca08fa6de511d6mlt_after	Hydrogenase expression/formation protein HupE	b9b37edd51968d9f2a219c5664796db0mlt_after	Hydrogenase expression/formation protein HupF	660f9829ce0394c119ad23595811aa8dmlt_after	Hydrogenase expression/formation protein HupG	18f5d80fce1982479d7c94e78ff011camlt_after	Hydrogenase expression/formation protein HupH	fc6568e0128e4661ba9a17eecb2b43e3mlt_after	Hydrogenase expression/formation protein HupJ	fd781d001824554869d784b36cf11515mlt_after	Hydrogenase expression/formation protein HupK	3ce828c5ccb7539ca650bf46485fff6bmlt_after
